station_name,latitude,longitude,free_bikes,venue_name,venue_rating,venue_address,venue_distance,venue_category,latitude_x,longitude_x,latitude_y,longitude_y
Argenson - Château,48.888559314669514,2.2642001509666447,21,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",2800.624422691007,French,,,,
Argenson - Château,48.888559314669514,2.2642001509666447,21,La Table des Oliviers,4.3,"4 rue de l'Eglise, 92200 Neuilly Sur Seine, France",419.7105283665491,Mediterranean,,,,
Argenson - Château,48.888559314669514,2.2642001509666447,21,Léon de Bruxelles,3.9,"95 boulevard Gouvion Saint Cyr, 75017 Paris, France",1845.4690069604355,Seafood,,,,
Argenson - Château,48.888559314669514,2.2642001509666447,21,FrogBurger,4.5,"150 avenue Charles de Gaulle, 92200 Neuilly-sur-Seine, France",478.6214966215929,Burgers,,,,
Argenson - Château,48.888559314669514,2.2642001509666447,21,Le Chalet de Neuilly,4.0,"14 Rue du Commandant Pilot, 92200 Neuilly-sur-Seine, France",1295.3501089727883,Fondue,,,,
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2,Le Volant Basque,4.6,"13 rue Béatrix Dussane, 75015 Paris, France",1487.28982316496,Basque,,,,
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2,Via del Gusto,3.9,"344 rue de Vaugirard, 75015 Paris, France",87.52908132161234,Italian,,,,
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2,Neige d'Eté,4.9,"12 rue de l'Amiral Roussin, 75015 Paris, France",1061.3862502951251,French,,,,
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2,Afaria,3.9,"15 rue Desnouettes, 75015 Paris, France",121.37927995479887,French,,,,
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2,Le Comptoir - Rugbybar,4.3,"354 rue de Vaugirard, 75015 Paris, France",96.34209549914448,Sports Bars,,,,
Saint-Maur - République,48.864185861455,2.3783174157143,2,Chez Janou,4.1,"2 rue Roger Verlomme, 75003 Paris, France",1165.2764232957904,Bistros,,,,
Saint-Maur - République,48.864185861455,2.3783174157143,2,Ober Mamma,4.3,"107 boulevard Richard Lenoir, 75011 Paris, France",592.196672009589,Pizza,,,,
Saint-Maur - République,48.864185861455,2.3783174157143,2,Chez Justine,3.5,"96 rue Oberkampf, 75011 Paris, France",170.21706149389743,French,,,,
