station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Argenson - Château,Les Pieds dans l'Eau,39 boulevard du Parc,448,N/A,N/A
Argenson - Château,Maison Wok,4 rue des Poissonniers,494,N/A,N/A
Argenson - Château,Livio,6 rue de Longchamp,626,N/A,N/A
Argenson - Château,Le Nouveau Paris,204 boulevard Bineau,700,N/A,N/A
Argenson - Château,Cercle Nautique de France,Ile du Pont de Neuilly,397,N/A,N/A
Saint Lambert - Blomet,The Counter Rugby Bar (Le Comptoir),354 bis rue de Vaugirard,92,N/A,N/A
Saint Lambert - Blomet,Afaria,15 rue Desnouettes,126,N/A,N/A
Saint Lambert - Blomet,Le Cambodge,2 rue Leriche,104,N/A,N/A
Saint Lambert - Blomet,Au Petit Parisien,358 rue de Vaugirard,126,N/A,N/A
Saint Lambert - Blomet,Le Grand Venise,171 rue de la Convention,214,N/A,N/A
Saint-Maur - République,Atelier des Lumières,38 rue Saint-Maur,325,N/A,N/A
Saint-Maur - République,Boulangerie Chambelland,"14 rue Ternaux, 11e",368,N/A,N/A
Saint-Maur - République,The Hood,80 rue Jean Pierre Timbaud le Citizen Hotel,375,N/A,N/A
Saint-Maur - République,La Cave de l'Insolite,"30 rue de la Folie Méricourt, 11e",400,N/A,N/A
Saint-Maur - République,Le Servan,32 rue Saint-Maur,407,N/A,N/A
Mairie de Rosny-sous-Bois,La Poste,60 rue Jean Pierre Timbaud,170,N/A,N/A
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,25 rue du Général Leclerc,184,N/A,N/A
Mairie de Rosny-sous-Bois,Rapid'Epave,33 rue Paul Cavaré,194,N/A,N/A
Mairie de Rosny-sous-Bois,Galeries Lafayette,"l' Agence de Rosny, rue Paul Cavaré",206,N/A,N/A
Mairie de Rosny-sous-Bois,Rosny 4 Saisons,36 rue du Général Gallieni,215,N/A,N/A
Mouton Duvernet - Général Leclerc,Aux Plumes,45 rue Boulard,132,N/A,N/A
Mouton Duvernet - Général Leclerc,A Mi Chemin,31 rue Boulard,176,N/A,N/A
Mouton Duvernet - Général Leclerc,Les Sourires de Dante,37 rue du Couédic,198,N/A,N/A
Mouton Duvernet - Général Leclerc,Burger King,78-80 avenue du Général Leclerc,311,N/A,N/A
Mouton Duvernet - Général Leclerc,Un Jour à Hà Nôi,46 rue Daguerre,356,N/A,N/A
Pernety - Raymond Losserand,L'Entrepôt,7-9 rue Francis de Pressensé,78,N/A,N/A
Pernety - Raymond Losserand,La Cantine du Troquet,101 rue de l'Ouest,111,N/A,N/A
Pernety - Raymond Losserand,Papy aux Fourneaux,70 rue de l'Ouest,151,N/A,N/A
Pernety - Raymond Losserand,Ayako,67 rue de l'Ouest,183,N/A,N/A
Pernety - Raymond Losserand,Sodam,39 rue de Gergovie,167,N/A,N/A
Champs de Manoeuvre - Cartoucherie,La Cartoucherie,1 route du Champ de Manoeuvre,107,N/A,N/A
Champs de Manoeuvre - Cartoucherie,Théâtre du Soleil,la Cartoucherie,182,N/A,N/A
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,route de la Pyramide,307,N/A,N/A
Champs de Manoeuvre - Cartoucherie,Aire de jeux du Parc Floral,Parc Floral,297,N/A,N/A
Champs de Manoeuvre - Cartoucherie,Centre équestre la Cartoucherie,Bois de Vincennes 4 route Champ de Manoeuvres,52,N/A,N/A
Belleville - Télégraphe,Resto Rigoletto,337 rue de Belleville,418,N/A,N/A
Belleville - Télégraphe,Franprix,126-128 rue Haxo,267,N/A,N/A
Belleville - Télégraphe,Carrefour City,296 rue de Belleville,344,N/A,N/A
Belleville - Télégraphe,Benoît Castel,150 rue de Ménilmontant,604,N/A,N/A
Belleville - Télégraphe,Au Métro des Lilas,261 avenue Gambetta,506,N/A,N/A
Abbeville - Faubourg Poissonnière,Billili,136 rue du Faubourg Poissonnière,174,N/A,N/A
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,140 rue du Faubourg Poissonnière,202,N/A,N/A
Abbeville - Faubourg Poissonnière,Mussubi,89 rue d'Hauteville,256,N/A,N/A
Abbeville - Faubourg Poissonnière,Ma Kitchen,85 rue d'Hauteville,296,N/A,N/A
Abbeville - Faubourg Poissonnière,La Binouze,"72 rue de Rochechouart, 9e",323,N/A,N/A
Porte de Pantin.,Cité de la Musique,221 avenue Jean Jaurès,112,N/A,N/A
Porte de Pantin.,Philharmonie de Paris,"211 avenue Jean Jaurès, 75019",213,N/A,N/A
Porte de Pantin.,Musée de la Musique,"221 avenue Jean Jaurès, 19e",133,N/A,N/A
Porte de Pantin.,Le Local Rock,206 avenue Jean Jaurès 75019,193,N/A,N/A
Porte de Pantin.,Au Bœuf Couronné,188 avenue Jean Jaurès,320,N/A,N/A
Passy - Place du Costa Rica,Le Passy,2 rue de Passy,31,N/A,N/A
Passy - Place du Costa Rica,Le Bistrot des Vignes,1 rue Jean Bologne,373,N/A,N/A
