station_name,business_name,rating,address,distance,category
Argenson - Château,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",2800.624422691007,French
Argenson - Château,La Table des Oliviers,4.3,"4 rue de l'Eglise, 92200 Neuilly Sur Seine, France",419.7105283665491,Mediterranean
Argenson - Château,Léon de Bruxelles,3.9,"95 boulevard Gouvion Saint Cyr, 75017 Paris, France",1845.4690069604355,Seafood
Argenson - Château,FrogBurger,4.5,"150 avenue Charles de Gaulle, 92200 Neuilly-sur-Seine, France",478.6214966215929,Burgers
Argenson - Château,Le Chalet de Neuilly,4.0,"14 Rue du Commandant Pilot, 92200 Neuilly-sur-Seine, France",1295.3501089727883,Fondue
Saint Lambert - Blomet,Le Volant Basque,4.6,"13 rue Béatrix Dussane, 75015 Paris, France",1487.28982316496,Basque
Saint Lambert - Blomet,Via del Gusto,3.9,"344 rue de Vaugirard, 75015 Paris, France",87.52908132161234,Italian
Saint Lambert - Blomet,Neige d'Eté,4.9,"12 rue de l'Amiral Roussin, 75015 Paris, France",1061.3862502951251,French
Saint Lambert - Blomet,Afaria,3.9,"15 rue Desnouettes, 75015 Paris, France",121.37927995479887,French
Saint Lambert - Blomet,Le Comptoir - Rugbybar,4.3,"354 rue de Vaugirard, 75015 Paris, France",96.34209549914449,Sports Bars
Saint-Maur - République,Chez Janou,4.1,"2 rue Roger Verlomme, 75003 Paris, France",1165.2764232957904,Bistros
Saint-Maur - République,Ober Mamma,4.3,"107 boulevard Richard Lenoir, 75011 Paris, France",592.196672009589,Pizza
Saint-Maur - République,Chez Justine,3.5,"96 rue Oberkampf, 75011 Paris, France",170.21706149389743,French
Saint-Maur - République,Café Oberkampf,4.4,"3 rue Neuve Popincourt, 75011 Paris, France",327.9260763857803,Cafes
Saint-Maur - République,Pierre Sang,4.4,"55 rue Oberkampf, 75011 Paris, France",440.50400172626803,French
Mairie de Rosny-sous-Bois,Okinawa,3.8,"Centre Cial Rosny 2, 93110 Rosny sous Bois, France",72.88906653980641,Restaurants
Mairie de Rosny-sous-Bois,Courtepaille,4.3,"1 Rue Jules Ferry, 93110 Rosny sous Bois, France",541.9011117634493,French
Mairie de Rosny-sous-Bois,Le New Shalimar,4.0,"82 avenue du Général de Gaule, 93110 Rosny-sous-Bois, France",991.6434351146984,Pakistani
Mairie de Rosny-sous-Bois,Pes,5.0,"43 Rue Paul Cavaré, 93110 Rosny sous Bois, France",124.65271345744598,Fast Food
Mairie de Rosny-sous-Bois,Restaurant Shalimar Indien et Pakistanais,3.0,"25 rue Gén Leclerc, 93110 Rosny sous Bois, France",187.12790222263607,Pakistani
Mouton Duvernet - Général Leclerc,Chez Félicie,3.9,"174 avenue du Maine, 75014 Paris, France",354.8759898314076,French
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,3.6,"2 ave du Général Leclerc, 75014 Paris, France",282.7438391799255,Cafes
Mouton Duvernet - Général Leclerc,Les Papilles,4.5,"30 rue Gay-Lussac, 75005 Paris, France",1698.7015223743078,Wine Bars
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,4.6,"6 rue Léopold Robert, 75014 Paris, France",1048.6206502035977,Bistros
Mouton Duvernet - Général Leclerc,Bistrotters,4.6,"9 rue Decrès, 75014 Paris, France",1060.6580472206288,French
Pernety - Raymond Losserand,Bistrotters,4.6,"9 rue Decrès, 75014 Paris, France",235.11424099926114,French
Pernety - Raymond Losserand,Le Bistrot des Campagnes,4.6,"6 rue Léopold Robert, 75014 Paris, France",1215.7985030020131,Bistros
Pernety - Raymond Losserand,Ayako-Teppanyaki,4.0,"67 rue d'Ouest, 75014 Paris, France",180.08753995248665,Japanese
Pernety - Raymond Losserand,L'Envie,4.6,"57 rue Pernety, 75014 Paris, France",19.828473594211875,French
Pernety - Raymond Losserand,Chez Félicie,3.9,"174 avenue du Maine, 75014 Paris, France",551.2020625356281,French
Champs de Manoeuvre - Cartoucherie,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",12010.403082622446,French
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,4.3,"Route de la Pyramide, 75012 Paris, France",1337.1132716541883,Parks
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,4.3,"Route du Champs de Manoeuvre, 75012 Paris, France",518.4300603204476,Parks
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,4.2,"Avenue de Paris, 94300 Vincennes, France",1222.8719670499497,Landmarks & Historical Buildings
Champs de Manoeuvre - Cartoucherie,Villa Capri,4.3,"2 bd de la Libération, 94300 Vincennes, France",1282.4705941707791,Italian
Belleville - Télégraphe,Le Jourdain,4.7,"101 rue des Couronnes, 75020 Paris, France",843.7059345027482,Tapas Bars
Belleville - Télégraphe,Chéri-Chérie,4.4,"203 avenue Gambetta, 75020 Paris, France",474.8448975186174,French
Belleville - Télégraphe,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",7724.20403221909,French
Belleville - Télégraphe,La Fine Mousse,4.3,"6 avenue Jean Aicard, 75011 Paris, France",1762.5349612813418,Beer Bar
Belleville - Télégraphe,La Maroquinerie,4.3,"23 Rue Boyer, 75020 Paris, France",974.3052940930023,Bars
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,4.8,"140 rue du Faubourg Poissonnière, 75010 Paris, France",201.1343827694785,French
Abbeville - Faubourg Poissonnière,La Maison Bleue,4.4,"7 place Franz Liszt, 75010 Paris, France",168.50919205285476,Bistros
Abbeville - Faubourg Poissonnière,Terminus Nord,3.7,"23 rue de Dunkerque, 75010 Paris, France",245.04275941493887,French
Abbeville - Faubourg Poissonnière,Pedzouille,4.7,"66 rue du Faubourg Poissonnière, 75010 Paris, France",346.5610050472424,Bistros
Abbeville - Faubourg Poissonnière,ASPIC,5.0,"24 rue de la Tour d'Auvergne, 75009 Paris, France",396.56096326659434,French
Porte de Pantin.,Au Boeuf Couronné,4.1,"188 avenue Jean Jaurès, 75019 Paris, France",285.85865784117215,French
Porte de Pantin.,Paname Brewing Company,4.1,"41 bis quai de la Loire, 75019 Paris, France",1196.6988844084558,Breweries
Porte de Pantin.,Philharmonie de Paris,4.2,"221 avenue Jean Jaurès, 75019 Paris, France",89.34383291827743,Music Venues
Porte de Pantin.,Le Pavillon des Canaux,4.3,"39 quai de la Loire, 75019 Paris, France",1210.3531605129108,Bars
Porte de Pantin.,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",7607.814933692776,French
Passy - Place du Costa Rica,La Coïncidence,4.5,"15 rue Mesnil, 75116 Paris, France",1069.6151618612546,French
