station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Argenson - Château,Bustronome,Les Pieds dans l'Eau,4.5,N/A,2800.624422691007,448
Argenson - Château,Bustronome,Maison Wok,4.5,N/A,2800.624422691007,494
Argenson - Château,Bustronome,Livio,4.5,N/A,2800.624422691007,626
Argenson - Château,Bustronome,Le Nouveau Paris,4.5,N/A,2800.624422691007,700
Argenson - Château,Bustronome,Cercle Nautique de France,4.5,N/A,2800.624422691007,397
Argenson - Château,La Table des Oliviers,Les Pieds dans l'Eau,4.3,N/A,419.7105283665491,448
Argenson - Château,La Table des Oliviers,Maison Wok,4.3,N/A,419.7105283665491,494
Argenson - Château,La Table des Oliviers,Livio,4.3,N/A,419.7105283665491,626
Argenson - Château,La Table des Oliviers,Le Nouveau Paris,4.3,N/A,419.7105283665491,700
Argenson - Château,La Table des Oliviers,Cercle Nautique de France,4.3,N/A,419.7105283665491,397
Argenson - Château,Léon de Bruxelles,Les Pieds dans l'Eau,3.9,N/A,1845.4690069604355,448
Argenson - Château,Léon de Bruxelles,Maison Wok,3.9,N/A,1845.4690069604355,494
Argenson - Château,Léon de Bruxelles,Livio,3.9,N/A,1845.4690069604355,626
Argenson - Château,Léon de Bruxelles,Le Nouveau Paris,3.9,N/A,1845.4690069604355,700
Argenson - Château,Léon de Bruxelles,Cercle Nautique de France,3.9,N/A,1845.4690069604355,397
Argenson - Château,FrogBurger,Les Pieds dans l'Eau,4.5,N/A,478.6214966215929,448
Argenson - Château,FrogBurger,Maison Wok,4.5,N/A,478.6214966215929,494
Argenson - Château,FrogBurger,Livio,4.5,N/A,478.6214966215929,626
Argenson - Château,FrogBurger,Le Nouveau Paris,4.5,N/A,478.6214966215929,700
Argenson - Château,FrogBurger,Cercle Nautique de France,4.5,N/A,478.6214966215929,397
Argenson - Château,Le Chalet de Neuilly,Les Pieds dans l'Eau,4.0,N/A,1295.3501089727883,448
Argenson - Château,Le Chalet de Neuilly,Maison Wok,4.0,N/A,1295.3501089727883,494
Argenson - Château,Le Chalet de Neuilly,Livio,4.0,N/A,1295.3501089727883,626
Argenson - Château,Le Chalet de Neuilly,Le Nouveau Paris,4.0,N/A,1295.3501089727883,700
Argenson - Château,Le Chalet de Neuilly,Cercle Nautique de France,4.0,N/A,1295.3501089727883,397
Saint Lambert - Blomet,Le Volant Basque,The Counter Rugby Bar (Le Comptoir),4.6,N/A,1487.28982316496,92
Saint Lambert - Blomet,Le Volant Basque,Afaria,4.6,N/A,1487.28982316496,126
Saint Lambert - Blomet,Le Volant Basque,Le Cambodge,4.6,N/A,1487.28982316496,104
Saint Lambert - Blomet,Le Volant Basque,Au Petit Parisien,4.6,N/A,1487.28982316496,126
Saint Lambert - Blomet,Le Volant Basque,Le Grand Venise,4.6,N/A,1487.28982316496,214
Saint Lambert - Blomet,Via del Gusto,The Counter Rugby Bar (Le Comptoir),3.9,N/A,87.52908132161234,92
Saint Lambert - Blomet,Via del Gusto,Afaria,3.9,N/A,87.52908132161234,126
Saint Lambert - Blomet,Via del Gusto,Le Cambodge,3.9,N/A,87.52908132161234,104
Saint Lambert - Blomet,Via del Gusto,Au Petit Parisien,3.9,N/A,87.52908132161234,126
Saint Lambert - Blomet,Via del Gusto,Le Grand Venise,3.9,N/A,87.52908132161234,214
Saint Lambert - Blomet,Neige d'Eté,The Counter Rugby Bar (Le Comptoir),4.9,N/A,1061.3862502951251,92
Saint Lambert - Blomet,Neige d'Eté,Afaria,4.9,N/A,1061.3862502951251,126
Saint Lambert - Blomet,Neige d'Eté,Le Cambodge,4.9,N/A,1061.3862502951251,104
Saint Lambert - Blomet,Neige d'Eté,Au Petit Parisien,4.9,N/A,1061.3862502951251,126
Saint Lambert - Blomet,Neige d'Eté,Le Grand Venise,4.9,N/A,1061.3862502951251,214
Saint Lambert - Blomet,Afaria,The Counter Rugby Bar (Le Comptoir),3.9,N/A,121.37927995479887,92
Saint Lambert - Blomet,Afaria,Afaria,3.9,N/A,121.37927995479887,126
Saint Lambert - Blomet,Afaria,Le Cambodge,3.9,N/A,121.37927995479887,104
Saint Lambert - Blomet,Afaria,Au Petit Parisien,3.9,N/A,121.37927995479887,126
Saint Lambert - Blomet,Afaria,Le Grand Venise,3.9,N/A,121.37927995479887,214
Saint Lambert - Blomet,Le Comptoir - Rugbybar,The Counter Rugby Bar (Le Comptoir),4.3,N/A,96.34209549914449,92
Saint Lambert - Blomet,Le Comptoir - Rugbybar,Afaria,4.3,N/A,96.34209549914449,126
Saint Lambert - Blomet,Le Comptoir - Rugbybar,Le Cambodge,4.3,N/A,96.34209549914449,104
Saint Lambert - Blomet,Le Comptoir - Rugbybar,Au Petit Parisien,4.3,N/A,96.34209549914449,126
Saint Lambert - Blomet,Le Comptoir - Rugbybar,Le Grand Venise,4.3,N/A,96.34209549914449,214
Saint-Maur - République,Chez Janou,Atelier des Lumières,4.1,N/A,1165.2764232957904,325
Saint-Maur - République,Chez Janou,Boulangerie Chambelland,4.1,N/A,1165.2764232957904,368
Saint-Maur - République,Chez Janou,The Hood,4.1,N/A,1165.2764232957904,375
Saint-Maur - République,Chez Janou,La Cave de l'Insolite,4.1,N/A,1165.2764232957904,400
Saint-Maur - République,Chez Janou,Le Servan,4.1,N/A,1165.2764232957904,407
Saint-Maur - République,Ober Mamma,Atelier des Lumières,4.3,N/A,592.196672009589,325
Saint-Maur - République,Ober Mamma,Boulangerie Chambelland,4.3,N/A,592.196672009589,368
Saint-Maur - République,Ober Mamma,The Hood,4.3,N/A,592.196672009589,375
Saint-Maur - République,Ober Mamma,La Cave de l'Insolite,4.3,N/A,592.196672009589,400
Saint-Maur - République,Ober Mamma,Le Servan,4.3,N/A,592.196672009589,407
Saint-Maur - République,Chez Justine,Atelier des Lumières,3.5,N/A,170.21706149389743,325
Saint-Maur - République,Chez Justine,Boulangerie Chambelland,3.5,N/A,170.21706149389743,368
Saint-Maur - République,Chez Justine,The Hood,3.5,N/A,170.21706149389743,375
Saint-Maur - République,Chez Justine,La Cave de l'Insolite,3.5,N/A,170.21706149389743,400
Saint-Maur - République,Chez Justine,Le Servan,3.5,N/A,170.21706149389743,407
Saint-Maur - République,Café Oberkampf,Atelier des Lumières,4.4,N/A,327.9260763857803,325
Saint-Maur - République,Café Oberkampf,Boulangerie Chambelland,4.4,N/A,327.9260763857803,368
Saint-Maur - République,Café Oberkampf,The Hood,4.4,N/A,327.9260763857803,375
Saint-Maur - République,Café Oberkampf,La Cave de l'Insolite,4.4,N/A,327.9260763857803,400
Saint-Maur - République,Café Oberkampf,Le Servan,4.4,N/A,327.9260763857803,407
Saint-Maur - République,Pierre Sang,Atelier des Lumières,4.4,N/A,440.50400172626803,325
Saint-Maur - République,Pierre Sang,Boulangerie Chambelland,4.4,N/A,440.50400172626803,368
Saint-Maur - République,Pierre Sang,The Hood,4.4,N/A,440.50400172626803,375
Saint-Maur - République,Pierre Sang,La Cave de l'Insolite,4.4,N/A,440.50400172626803,400
Saint-Maur - République,Pierre Sang,Le Servan,4.4,N/A,440.50400172626803,407
Mairie de Rosny-sous-Bois,Okinawa,La Poste,3.8,N/A,72.88906653980641,170
Mairie de Rosny-sous-Bois,Okinawa,Restaurant Shalimar Indien et Pakistanais,3.8,N/A,72.88906653980641,184
Mairie de Rosny-sous-Bois,Okinawa,Rapid'Epave,3.8,N/A,72.88906653980641,194
Mairie de Rosny-sous-Bois,Okinawa,Galeries Lafayette,3.8,N/A,72.88906653980641,206
Mairie de Rosny-sous-Bois,Okinawa,Rosny 4 Saisons,3.8,N/A,72.88906653980641,215
